replicate,virus,dilution,uL_virus,RLU_per_well,cells,oseltamivir,media
rep1,H5_wigeon,0.0625,6.25,5163000,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_wigeon,0.03125,3.125,2907000,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_wigeon,0.015625,1.5625,1192000,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_wigeon,0.0078125,0.78125,512900,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_wigeon,0.00390625,0.390625,284500,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_wigeon,0.001953125,0.1953125,214800,293-noSA-human-MHCII-15:03,no,IGM
rep1,H9_HongKong,0.25,25,3763,293-noSA-human-MHCII-15:03,no,IGM
rep1,H9_HongKong,0.125,12.5,832.5,293-noSA-human-MHCII-15:03,no,IGM
rep1,H9_HongKong,0.0625,6.25,1274,293-noSA-human-MHCII-15:03,no,IGM
rep1,H9_HongKong,0.03125,3.125,61.42,293-noSA-human-MHCII-15:03,no,IGM
rep1,H9_HongKong,0.015625,1.5625,64.02,293-noSA-human-MHCII-15:03,no,IGM
rep1,H9_HongKong,0.0078125,0.78125,25.65,293-noSA-human-MHCII-15:03,no,IGM
rep1,H9_HongKong,0.00390625,0.390625,9.796,293-noSA-human-MHCII-15:03,no,IGM
rep1,H9_HongKong,0.001953125,0.1953125,45.72,293-noSA-human-MHCII-15:03,no,IGM
rep1,H7_Anhui,0.5,50,1614000,293-noSA-human-MHCII-15:03,no,IGM
rep1,H7_Anhui,0.25,25,1139000,293-noSA-human-MHCII-15:03,no,IGM
rep1,H7_Anhui,0.125,12.5,383600,293-noSA-human-MHCII-15:03,no,IGM
rep1,H7_Anhui,0.0625,6.25,193000,293-noSA-human-MHCII-15:03,no,IGM
rep1,H7_Anhui,0.03125,3.125,110600,293-noSA-human-MHCII-15:03,no,IGM
rep1,H7_Anhui,0.015625,1.5625,32530,293-noSA-human-MHCII-15:03,no,IGM
rep1,H7_Anhui,0.0078125,0.78125,10130,293-noSA-human-MHCII-15:03,no,IGM
rep1,H7_Anhui,0.00390625,0.390625,1686,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_GsGd,0.25,25,17030000,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_GsGd,0.125,12.5,11450000,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_GsGd,0.0625,6.25,4648000,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_GsGd,0.03125,3.125,2368000,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_GsGd,0.015625,1.5625,1001000,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_GsGd,0.0078125,0.78125,488000,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_GsGd,0.00390625,0.390625,270000,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_GsGd,0.001953125,0.1953125,127400,293-noSA-human-MHCII-15:03,no,IGM
rep1,1918_NYC,0.25,25,18740,293-noSA-human-MHCII-03:01,no,IGM
rep1,1918_NYC,0.125,12.5,8462,293-noSA-human-MHCII-03:01,no,IGM
rep1,1918_NYC,0.0625,6.25,4022,293-noSA-human-MHCII-03:01,no,IGM
rep1,1918_NYC,0.03125,3.125,4680,293-noSA-human-MHCII-03:01,no,IGM
rep1,1918_NYC,0.015625,1.5625,4171,293-noSA-human-MHCII-03:01,no,IGM
rep1,1918_NYC,0.0078125,0.78125,0,293-noSA-human-MHCII-03:01,no,IGM
rep1,1918_NYC,0.00390625,0.390625,57.08,293-noSA-human-MHCII-03:01,no,IGM
rep1,1918_NYC,0.001953125,0.1953125,27.42,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_wigeon,0.25,25,7296000,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_wigeon,0.125,12.5,5756000,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_wigeon,0.0625,6.25,2916000,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_wigeon,0.03125,3.125,1631000,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_wigeon,0.015625,1.5625,839700,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_wigeon,0.0078125,0.78125,295500,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_wigeon,0.00390625,0.390625,118900,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_wigeon,0.001953125,0.1953125,97950,293-noSA-human-MHCII-03:01,no,IGM
rep1,H9_HongKong,0.25,25,2592,293-noSA-human-MHCII-03:01,no,IGM
rep1,H9_HongKong,0.125,12.5,1774,293-noSA-human-MHCII-03:01,no,IGM
rep1,H9_HongKong,0.0625,6.25,612.7,293-noSA-human-MHCII-03:01,no,IGM
rep1,H9_HongKong,0.03125,3.125,68.72,293-noSA-human-MHCII-03:01,no,IGM
rep1,H9_HongKong,0.015625,1.5625,97.68,293-noSA-human-MHCII-03:01,no,IGM
rep1,H9_HongKong,0.0078125,0.78125,27.67,293-noSA-human-MHCII-03:01,no,IGM
rep1,H9_HongKong,0.00390625,0.390625,19.05,293-noSA-human-MHCII-03:01,no,IGM
rep1,H9_HongKong,0.001953125,0.1953125,29.38,293-noSA-human-MHCII-03:01,no,IGM
rep1,H7_Anhui,0.5,50,531500,293-noSA-human-MHCII-03:01,no,IGM
rep1,H7_Anhui,0.25,25,478700,293-noSA-human-MHCII-03:01,no,IGM
rep1,H7_Anhui,0.125,12.5,274300,293-noSA-human-MHCII-03:01,no,IGM
rep1,H7_Anhui,0.0625,6.25,116100,293-noSA-human-MHCII-03:01,no,IGM
rep1,H7_Anhui,0.03125,3.125,28640,293-noSA-human-MHCII-03:01,no,IGM
rep1,H7_Anhui,0.015625,1.5625,8812,293-noSA-human-MHCII-03:01,no,IGM
rep1,H7_Anhui,0.0078125,0.78125,4533,293-noSA-human-MHCII-03:01,no,IGM
rep1,H7_Anhui,0.00390625,0.390625,5253,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_GsGd,0.25,25,15370000,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_GsGd,0.125,12.5,8847000,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_GsGd,0.0625,6.25,5287000,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_GsGd,0.03125,3.125,1637000,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_GsGd,0.015625,1.5625,811200,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_GsGd,0.0078125,0.78125,350500,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_GsGd,0.00390625,0.390625,156500,293-noSA-human-MHCII-03:01,no,IGM
rep1,H5_GsGd,0.001953125,0.1953125,74550,293-noSA-human-MHCII-03:01,no,IGM
