replicate,virus,dilution,uL_virus,RLU_per_well,cells,oseltamivir,media
rep1,1918_NYC,0.25,25,39170,293-SA23,no,IGM
rep1,1918_NYC,0.125,12.5,25920,293-SA23,no,IGM
rep1,1918_NYC,0.0625,6.25,14570,293-SA23,no,IGM
rep1,1918_NYC,0.03125,3.125,6590,293-SA23,no,IGM
rep1,1918_NYC,0.015625,1.5625,494.5,293-SA23,no,IGM
rep1,1918_NYC,0.0078125,0.78125,4512,293-SA23,no,IGM
rep1,1918_NYC,0.00390625,0.390625,11.9,293-SA23,no,IGM
rep1,1918_NYC,0.001953125,0.1953125,42.96,293-SA23,no,IGM
rep1,H5_wigeon,0.25,25,26120000,293-SA23,no,IGM
rep1,H5_wigeon,0.125,12.5,14460000,293-SA23,no,IGM
rep1,H5_wigeon,0.0625,6.25,9045000,293-SA23,no,IGM
rep1,H5_wigeon,0.03125,3.125,3582000,293-SA23,no,IGM
rep1,H5_wigeon,0.015625,1.5625,2185000,293-SA23,no,IGM
rep1,H5_wigeon,0.0078125,0.78125,1375000,293-SA23,no,IGM
rep1,H5_wigeon,0.00390625,0.390625,718300,293-SA23,no,IGM
rep1,H5_wigeon,0.001953125,0.1953125,484800,293-SA23,no,IGM
rep1,H9_HongKong,0.25,25,26190,293-SA23,no,IGM
rep1,H9_HongKong,0.125,12.5,11350,293-SA23,no,IGM
rep1,H9_HongKong,0.0625,6.25,7706,293-SA23,no,IGM
rep1,H9_HongKong,0.03125,3.125,15540,293-SA23,no,IGM
rep1,H9_HongKong,0.015625,1.5625,6133,293-SA23,no,IGM
rep1,H9_HongKong,0.0078125,0.78125,1743,293-SA23,no,IGM
rep1,H9_HongKong,0.00390625,0.390625,2253,293-SA23,no,IGM
rep1,H9_HongKong,0.001953125,0.1953125,6963,293-SA23,no,IGM
rep1,H7_Anhui,0.25,25,743200,293-SA23,no,IGM
rep1,H7_Anhui,0.125,12.5,312000,293-SA23,no,IGM
rep1,H7_Anhui,0.0625,6.25,200900,293-SA23,no,IGM
rep1,H7_Anhui,0.03125,3.125,122200,293-SA23,no,IGM
rep1,H7_Anhui,0.015625,1.5625,32560,293-SA23,no,IGM
rep1,H7_Anhui,0.0078125,0.78125,31300,293-SA23,no,IGM
rep1,H7_Anhui,0.00390625,0.390625,40070,293-SA23,no,IGM
rep1,H7_Anhui,0.001953125,0.1953125,26180,293-SA23,no,IGM
rep1,H5_GsGd,0.25,25,2589000,293-SA23,no,IGM
rep1,H5_GsGd,0.125,12.5,946200,293-SA23,no,IGM
rep1,H5_GsGd,0.0625,6.25,461200,293-SA23,no,IGM
rep1,H5_GsGd,0.03125,3.125,169300,293-SA23,no,IGM
rep1,H5_GsGd,0.015625,1.5625,85180,293-SA23,no,IGM
rep1,H5_GsGd,0.0078125,0.78125,33480,293-SA23,no,IGM
rep1,H5_GsGd,0.00390625,0.390625,45210,293-SA23,no,IGM
rep1,H5_GsGd,0.001953125,0.1953125,38180,293-SA23,no,IGM
rep1,1918_NYC,0.25,25,346500,293T,no,IGM
rep1,1918_NYC,0.125,12.5,159200,293T,no,IGM
rep1,1918_NYC,0.0625,6.25,102800,293T,no,IGM
rep1,1918_NYC,0.03125,3.125,43330,293T,no,IGM
rep1,1918_NYC,0.015625,1.5625,45720,293T,no,IGM
rep1,1918_NYC,0.0078125,0.78125,14010,293T,no,IGM
rep1,1918_NYC,0.00390625,0.390625,14970,293T,no,IGM
rep1,1918_NYC,0.001953125,0.1953125,8496,293T,no,IGM
rep1,H5_wigeon,0.25,25,51970000,293T,no,IGM
rep1,H5_wigeon,0.125,12.5,31210000,293T,no,IGM
rep1,H5_wigeon,0.0625,6.25,16850000,293T,no,IGM
rep1,H5_wigeon,0.03125,3.125,7730000,293T,no,IGM
rep1,H5_wigeon,0.015625,1.5625,4180000,293T,no,IGM
rep1,H5_wigeon,0.0078125,0.78125,2203000,293T,no,IGM
rep1,H5_wigeon,0.00390625,0.390625,1397000,293T,no,IGM
rep1,H5_wigeon,0.001953125,0.1953125,806600,293T,no,IGM
rep1,H9_HongKong,0.25,25,44460,293T,no,IGM
rep1,H9_HongKong,0.125,12.5,30850,293T,no,IGM
rep1,H9_HongKong,0.0625,6.25,20340,293T,no,IGM
rep1,H9_HongKong,0.03125,3.125,19350,293T,no,IGM
rep1,H9_HongKong,0.015625,1.5625,6584,293T,no,IGM
rep1,H9_HongKong,0.0078125,0.78125,5084,293T,no,IGM
rep1,H9_HongKong,0.00390625,0.390625,1525,293T,no,IGM
rep1,H9_HongKong,0.001953125,0.1953125,1855,293T,no,IGM
rep1,H7_Anhui,0.5,50,1493000,293T,no,IGM
rep1,H7_Anhui,0.25,25,792600,293T,no,IGM
rep1,H7_Anhui,0.125,12.5,536100,293T,no,IGM
rep1,H7_Anhui,0.0625,6.25,391500,293T,no,IGM
rep1,H7_Anhui,0.03125,3.125,270900,293T,no,IGM
rep1,H7_Anhui,0.015625,1.5625,132400,293T,no,IGM
rep1,H7_Anhui,0.0078125,0.78125,97650,293T,no,IGM
rep1,H7_Anhui,0.00390625,0.390625,49740,293T,no,IGM
rep1,H5_GsGd,0.25,25,4596000,293T,no,IGM
rep1,H5_GsGd,0.125,12.5,2010000,293T,no,IGM
rep1,H5_GsGd,0.0625,6.25,1193000,293T,no,IGM
rep1,H5_GsGd,0.03125,3.125,538000,293T,no,IGM
rep1,H5_GsGd,0.015625,1.5625,303700,293T,no,IGM
rep1,H5_GsGd,0.0078125,0.78125,153000,293T,no,IGM
rep1,H5_GsGd,0.00390625,0.390625,94820,293T,no,IGM
rep1,H5_GsGd,0.001953125,0.1953125,44530,293T,no,IGM
rep1,1918_NYC,0.25,25,11220000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,1918_NYC,0.125,12.5,5431000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,1918_NYC,0.0625,6.25,2404000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,1918_NYC,0.03125,3.125,1022000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,1918_NYC,0.015625,1.5625,505200,293-noSA-tufted-duck-MHCII,no,IGM
rep1,1918_NYC,0.0078125,0.78125,242800,293-noSA-tufted-duck-MHCII,no,IGM
rep1,1918_NYC,0.00390625,0.390625,115600,293-noSA-tufted-duck-MHCII,no,IGM
rep1,1918_NYC,0.001953125,0.1953125,55860,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_wigeon,0.25,25,69270000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_wigeon,0.125,12.5,40760000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_wigeon,0.0625,6.25,17700000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_wigeon,0.03125,3.125,9137000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_wigeon,0.015625,1.5625,4101000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_wigeon,0.0078125,0.78125,1984000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_wigeon,0.00390625,0.390625,1137000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_wigeon,0.001953125,0.1953125,609400,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H9_HongKong,0.25,25,1356000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H9_HongKong,0.125,12.5,777100,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H9_HongKong,0.0625,6.25,416400,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H9_HongKong,0.03125,3.125,221700,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H9_HongKong,0.015625,1.5625,106000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H9_HongKong,0.0078125,0.78125,57760,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H9_HongKong,0.00390625,0.390625,48530,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H9_HongKong,0.001953125,0.1953125,11740,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H7_Anhui,0.5,50,8455000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H7_Anhui,0.25,25,5630000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H7_Anhui,0.125,12.5,3282000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H7_Anhui,0.0625,6.25,1388000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H7_Anhui,0.03125,3.125,799400,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H7_Anhui,0.015625,1.5625,265300,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H7_Anhui,0.0078125,0.78125,112200,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H7_Anhui,0.00390625,0.390625,45930,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_GsGd,0.25,25,42680000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_GsGd,0.125,12.5,27470000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_GsGd,0.0625,6.25,13530000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_GsGd,0.03125,3.125,6067000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_GsGd,0.015625,1.5625,3122000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_GsGd,0.0078125,0.78125,1402000,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_GsGd,0.00390625,0.390625,776800,293-noSA-tufted-duck-MHCII,no,IGM
rep1,H5_GsGd,0.001953125,0.1953125,399500,293-noSA-tufted-duck-MHCII,no,IGM
rep1,1918_NYC,0.25,25,5493,293-noSA,no,IGM
rep1,1918_NYC,0.125,12.5,2753,293-noSA,no,IGM
rep1,1918_NYC,0.0625,6.25,183.9,293-noSA,no,IGM
rep1,1918_NYC,0.03125,3.125,117.6,293-noSA,no,IGM
rep1,1918_NYC,0.015625,1.5625,78.07,293-noSA,no,IGM
rep1,1918_NYC,0.0078125,0.78125,9.21,293-noSA,no,IGM
rep1,1918_NYC,0.00390625,0.390625,29.91,293-noSA,no,IGM
rep1,1918_NYC,0.001953125,0.1953125,10.22,293-noSA,no,IGM
rep1,H5_wigeon,0.25,25,891800,293-noSA,no,IGM
rep1,H5_wigeon,0.125,12.5,801200,293-noSA,no,IGM
rep1,H5_wigeon,0.0625,6.25,359600,293-noSA,no,IGM
rep1,H5_wigeon,0.03125,3.125,134400,293-noSA,no,IGM
rep1,H5_wigeon,0.015625,1.5625,54130,293-noSA,no,IGM
rep1,H5_wigeon,0.0078125,0.78125,15040,293-noSA,no,IGM
rep1,H5_wigeon,0.00390625,0.390625,3514,293-noSA,no,IGM
rep1,H5_wigeon,0.001953125,0.1953125,2189,293-noSA,no,IGM
rep1,H9_HongKong,0.25,25,8029,293-noSA,no,IGM
rep1,H9_HongKong,0.125,12.5,2586,293-noSA,no,IGM
rep1,H9_HongKong,0.0625,6.25,149.3,293-noSA,no,IGM
rep1,H9_HongKong,0.03125,3.125,51.82,293-noSA,no,IGM
rep1,H9_HongKong,0.015625,1.5625,44.22,293-noSA,no,IGM
rep1,H9_HongKong,0.0078125,0.78125,55.13,293-noSA,no,IGM
rep1,H9_HongKong,0.00390625,0.390625,0,293-noSA,no,IGM
rep1,H9_HongKong,0.001953125,0.1953125,0.5319,293-noSA,no,IGM
rep1,H7_Anhui,0.5,50,393700,293-noSA,no,IGM
rep1,H7_Anhui,0.25,25,241200,293-noSA,no,IGM
rep1,H7_Anhui,0.125,12.5,137200,293-noSA,no,IGM
rep1,H7_Anhui,0.0625,6.25,74460,293-noSA,no,IGM
rep1,H7_Anhui,0.03125,3.125,20060,293-noSA,no,IGM
rep1,H7_Anhui,0.015625,1.5625,12720,293-noSA,no,IGM
rep1,H7_Anhui,0.0078125,0.78125,2822,293-noSA,no,IGM
rep1,H7_Anhui,0.00390625,0.390625,4531,293-noSA,no,IGM
rep1,H5_GsGd,0.25,25,397600,293-noSA,no,IGM
rep1,H5_GsGd,0.125,12.5,186100,293-noSA,no,IGM
rep1,H5_GsGd,0.0625,6.25,87320,293-noSA,no,IGM
rep1,H5_GsGd,0.03125,3.125,53040,293-noSA,no,IGM
rep1,H5_GsGd,0.015625,1.5625,18600,293-noSA,no,IGM
rep1,H5_GsGd,0.0078125,0.78125,3474,293-noSA,no,IGM
rep1,H5_GsGd,0.00390625,0.390625,18.58,293-noSA,no,IGM
rep1,H5_GsGd,0.001953125,0.1953125,5.77,293-noSA,no,IGM
rep1,1918_NYC,0.25,25,43180,293-noSA-human-MHCII-15:03,no,IGM
rep1,1918_NYC,0.125,12.5,37310,293-noSA-human-MHCII-15:03,no,IGM
rep1,1918_NYC,0.0625,6.25,15060,293-noSA-human-MHCII-15:03,no,IGM
rep1,1918_NYC,0.03125,3.125,6460,293-noSA-human-MHCII-15:03,no,IGM
rep1,1918_NYC,0.015625,1.5625,1911,293-noSA-human-MHCII-15:03,no,IGM
rep1,1918_NYC,0.0078125,0.78125,63.7,293-noSA-human-MHCII-15:03,no,IGM
rep1,1918_NYC,0.00390625,0.390625,50.41,293-noSA-human-MHCII-15:03,no,IGM
rep1,1918_NYC,0.001953125,0.1953125,30.16,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_wigeon,0.25,25,18140000,293-noSA-human-MHCII-15:03,no,IGM
rep1,H5_wigeon,0.125,12.5,9300000,293-noSA-human-MHCII-15:03,no,IGM
