plate1,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,1,1,2,2,3,3,4,4,5,5,NA
C,NA,6,6,7,7,8,8,9,9,10,10,NA
D,NA,11,11,12,12,13,13,14,14,15,15,NA
E,NA,16,16,17,17,18,18,19,19,20,20,NA
F,NA,21,21,22,22,23,23,24,24,25,25,NA
G,NA,26,26,27,27,28,28,29,29,30,30,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
plate2,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,31,31,32,32,33,33,34,34,35,35,NA
C,NA,36,36,37,37,38,38,39,39,40,40,NA
D,NA,41,41,42,42,43,43,44,44,45,45,NA
E,NA,46,46,47,47,48,48,49,49,50,50,NA
F,NA,51,51,52,52,53,53,54,54,55,55,NA
G,NA,56,56,57,57,58,58,59,59,NA,NA,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,
plate3,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,NA,60,60,61,61,62,62,63,63,64,64,NA
C,NA,65,65,66,66,67,67,68,68,69,69,NA
D,NA,70,70,71,71,72,72,73,73,74,74,NA
E,NA,75,75,76,76,77,77,78,78,79,79,NA
F,NA,80,80,81,81,82,82,83,83,84,84,NA
G,NA,85,85,86,86,87,87,88,88,NA,NA,NA
H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
