serum,virus,replicate,nreplicates,ic50,ic50_bound,ic50_str,midpoint,midpoint_bound,midpoint_bound_type,slope,top,bottom,r2,rmsd,NT50,ic50_is_bound
H5_293T,gag+tufted-duck-MHCII,average,1,0.0032741226588543044,interpolated,0.00327,0.0032741226588543044,0.0032741226588543044,interpolated,0.8664494841003912,1.0,0.0,0.9855053548576572,0.040121656506297405,305.4253319727259,False
H5_293T,gag,average,1,0.5,lower,>0.5,3.2520964635208207,0.5,lower,0.36227261810574135,1.0,0.0,0.5046259657840226,0.08245950211397136,2.0,True
H5_293T,tufted-duck-MHCII,average,1,0.09058889240555301,interpolated,0.0906,0.09058889240555301,0.09058889240555301,interpolated,0.71316561687212,1.0,0.0,0.9449906834775539,0.06164393449337077,11.03888096482236,False
H5_293T,cell_supernatant,average,1,0.5,lower,>0.5,6968087.892373694,0.5,lower,0.12433897357534299,1.0,0.0,0.06767971061611766,0.07364971411424485,2.0,True
H5_293T,cell_media,average,1,0.5,lower,>0.5,289875592121.5934,0.5,lower,0.08692445200135827,1.0,0.0,0.06137670244456361,0.05089793740373868,2.0,True
H5_D77E_293T,gag+tufted-duck-MHCII,average,1,0.5,lower,>0.5,0.6012870144615844,0.5,lower,2.1058411577264406,1.0,0.0,0.6150317245438207,0.11165999996449368,2.0,True
